Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1,Time (s) Run #2,Position (m) Run #2,Velocity (m/s) Run #2,Acceleration (m/s²) Run #2,Time (s) Run #3,Position (m) Run #3,Velocity (m/s) Run #3,Acceleration (m/s²) Run #3,Time (s) Run #4,Position (m) Run #4,Velocity (m/s) Run #4,Acceleration (m/s²) Run #4,Time (s) Run #5,Position (m) Run #5,Velocity (m/s) Run #5,Acceleration (m/s²) Run #5,Time (s) Run #6,Position (m) Run #6,Velocity (m/s) Run #6,Acceleration (m/s²) Run #6,Time (s) Run #7,Position (m) Run #7,Velocity (m/s) Run #7,Acceleration (m/s²) Run #7,Time (s) Run #8,Position (m) Run #8,Velocity (m/s) Run #8,Acceleration (m/s²) Run #8,Time (s) Run #9,Position (m) Run #9,Velocity (m/s) Run #9,Acceleration (m/s²) Run #9,Time (s) Run #10,Position (m) Run #10,Velocity (m/s) Run #10,Acceleration (m/s²) Run #10
,,,,,,,,0.18,1.51,-0.02,-2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.2,1.51,-0.05,-1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.22,1.51,-0.06,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.24,1.51,-0.04,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.26,1.51,-0.02,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.28,1.51,0.01,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.3,1.51,0.06,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.32,1.51,0.07,-1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.34,1.51,-0.01,-3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.36,1.51,-0.1,-4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.38,1.51,-0.21,-2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.4,1.51,-0.25,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.42,1.49,-0.22,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.44,1.49,-0.17,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.46,1.49,-0.19,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.48,1.49,-0.15,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.5,1.48,-0.13,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.52,1.49,-0.06,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.54,1.47,-0.12,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.56,1.48,-0.09,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.58,1.47,-0.000757,-1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.6,1.48,-0.09,-7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.62,1.48,-0.31,-9.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.64,1.47,-0.66,-5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.66,1.45,-0.61,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.68,1.43,-0.39,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.7,1.44,-0.27,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.72,1.43,-0.36,-3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.74,1.42,-0.49,-5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.76,1.41,-0.6,-6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.78,1.4,-0.74,-4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.8,1.38,-0.85,-1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.82,1.36,-0.79,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.84,1.34,-0.71,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.86,1.34,-0.71,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.88,1.32,-0.71,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.9,1.3,-0.73,-1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.92,1.29,-0.74,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.94,1.28,-0.82,-3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.96,1.26,-0.9,-2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.98,1.24,-0.95,-1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,1.22,-0.97,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.02,1.2,-0.96,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.04,1.18,-0.89,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.06,1.16,-0.81,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.08,1.15,-0.83,-1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.1,1.13,-0.92,-2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.12,1.11,-0.99,-1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.14,1.09,-0.98,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.16,1.07,-0.97,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.18,1.05,-0.99,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.2,1.03,-0.97,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.22,1.01,-0.97,-0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.24,1.0,-1.0,-1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.26,0.97,-1.03,-1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.28,0.95,-1.05,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.3,0.93,-1.04,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.32,0.91,-1.02,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.34,0.89,-1.01,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.36,0.87,-1.03,-1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.38,0.85,-1.08,-1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.4,0.83,-1.11,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.42,0.81,-1.11,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.44,0.78,-1.12,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.46,0.76,-1.1,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.48,0.74,-1.08,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.5,0.72,-1.06,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.52,0.7,-1.06,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.54,0.68,-1.06,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.56,0.65,-1.06,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.58,0.63,-1.06,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.6,0.61,-1.06,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.62,0.59,-1.06,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.64,0.57,-1.06,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.66,0.55,-1.06,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.68,0.53,-1.05,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.7,0.51,-0.98,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.72,0.49,-0.97,-0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.74,0.47,-1.04,-2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.76,0.44,-1.11,-1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.78,0.42,-1.12,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.8,0.4,-1.06,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.82,0.38,-1.06,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.84,0.36,-1.07,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.86,0.34,-1.07,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.88,0.32,-1.07,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.9,0.29,-1.07,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.92,0.27,-1.08,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.94,0.25,-1.06,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.96,0.23,-1.04,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.98,0.21,-1.04,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,0.19,-1.05,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.02,0.17,-1.04,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.04,0.15,-0.87,12.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.06,0.13,-0.42,112.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.08,0.12,-0.16,305.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.02,1.45,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.04,1.45,0.1,-0.75,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.06,1.45,0.07,-2.06,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.08,1.45,0.02,-3.31,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.1,1.46,-0.07,-4.11,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.12,1.45,-0.16,-3.77,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.14,1.45,-0.24,-1.94,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.16,1.44,-0.26,0.74,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.18,1.44,-0.2,2.81,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.2,1.43,-0.11,3.31,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.22,1.43,-0.05,2.46,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.24,1.43,-0.01,1.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.26,1.43,-0.01,0.85,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.28,1.43,0.01,1.08,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.3,1.43,0.03,2.09,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.32,1.43,0.08,2.23,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.34,1.43,0.17,-0.17,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.36,1.44,0.13,-2.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.38,1.45,-0.05,-0.33,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.4,1.44,0.05,3.67,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.42,1.43,0.22,4.23,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.44,1.46,0.31,-0.42,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.46,1.45,0.2,-5.05,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.48,1.46,0.01,-7.84,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.5,1.46,-0.09,-8.25,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.52,1.45,-0.34,-6.84,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.54,1.44,-0.44,-4.48,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.56,1.43,-0.46,-2.21,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.58,1.43,-0.51,-1.35,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.6,1.41,-0.53,-0.84,,,,,,,,,,,,,,,,,,,,,,,,
